Date,zip,count
3/25/2020,37221,3
3/25/2020,37228,1
3/26/2020,,2
3/26/2020,37013,6
3/26/2020,37076,3
3/26/2020,37115,2
3/26/2020,37138,1
3/26/2020,37203,6
3/26/2020,37204,2
3/26/2020,37205,3
3/26/2020,37206,1
3/26/2020,37207,2
3/26/2020,37208,2
3/26/2020,37209,4
3/26/2020,37210,2
3/26/2020,37211,6
3/26/2020,37214,1
3/26/2020,37215,3
3/26/2020,37216,1
3/26/2020,37217,2
3/26/2020,37218,2
3/26/2020,37220,1
3/26/2020,37221,1
3/27/2020,,4
3/27/2020,37013,10
3/27/2020,37072,1
3/27/2020,37115,2
3/27/2020,37189,1
3/27/2020,37203,4
3/27/2020,37204,2
3/27/2020,37206,1
3/27/2020,37207,6
3/27/2020,37209,4
3/27/2020,37210,1
3/27/2020,37211,11
3/27/2020,37212,2
3/27/2020,37214,1
3/27/2020,37215,1
3/27/2020,37216,2
3/27/2020,37217,4
3/27/2020,37218,3
3/27/2020,37221,2
3/28/2020,,3
3/28/2020,37013,1
3/28/2020,37072,2
3/28/2020,37076,2
3/28/2020,37080,1
3/28/2020,37115,6
3/28/2020,37203,1
3/28/2020,37204,3
3/28/2020,37205,1
3/28/2020,37207,2
3/28/2020,37209,1
3/28/2020,37211,1
3/28/2020,37215,4
3/28/2020,37217,2
3/28/2020,37218,1
3/29/2020,,3
3/29/2020,37013,6
3/29/2020,37076,1
3/29/2020,37115,2
3/29/2020,37204,1
3/29/2020,37208,1
3/29/2020,37211,1
3/29/2020,37212,1
3/29/2020,37214,1
3/29/2020,37215,3
3/29/2020,37217,1
3/29/2020,37218,1
3/29/2020,37220,1
3/30/2020,37013,9
3/30/2020,37076,1
3/30/2020,37115,3
3/30/2020,37203,3
3/30/2020,37204,2
3/30/2020,37206,1
3/30/2020,37209,5
3/30/2020,37211,3
3/30/2020,37212,9
3/30/2020,37214,5
3/30/2020,37215,2
3/30/2020,37216,2
3/30/2020,37217,7
3/30/2020,37218,1
3/30/2020,37221,5
3/30/2020,37228,1
3/31/2020,,2
3/31/2020,37013,11
3/31/2020,37076,3
3/31/2020,37115,2
3/31/2020,37138,1
3/31/2020,37205,1
3/31/2020,37206,1
3/31/2020,37208,1
3/31/2020,37209,4
3/31/2020,37210,2
3/31/2020,37211,3
3/31/2020,37213,1
3/31/2020,37214,1
3/31/2020,37215,2
3/31/2020,37217,1
3/31/2020,37221,1
4/1/2020,,2
4/1/2020,37013,11
4/1/2020,37072,1
4/1/2020,37076,1
