county_fips,never,rarely,sometimes,frequently,always,date,county,state,cases,deaths,pop_est_2019,good_compliance,good_rank
47171,0.049,0.041,0.108,0.306,0.497,2020-03-26,Unicoi,Tennessee,1,0,17883.0,0.8029999999999999,5.0
47173,0.086,0.145,0.167,0.181,0.421,2020-03-28,Union,Tennessee,1,0,19972.0,0.602,63.5
47175,0.145,0.147,0.147,0.239,0.323,2020-04-13,Van Buren,Tennessee,1,0,5872.0,0.562,73.0
47177,0.14,0.107,0.189,0.212,0.352,2020-03-30,Warren,Tennessee,1,0,41277.0,0.564,72.0
47179,0.061,0.074,0.166,0.218,0.48,2020-03-19,Washington,Tennessee,2,0,129375.0,0.698,22.0
47181,0.089,0.215,0.136,0.147,0.414,2020-03-30,Wayne,Tennessee,1,0,16673.0,0.5609999999999999,74.0
47183,0.093,0.135,0.228,0.251,0.292,2020-03-28,Weakley,Tennessee,1,0,33328.0,0.5429999999999999,81.0
47185,0.185,0.205,0.162,0.115,0.333,2020-03-25,White,Tennessee,1,0,27345.0,0.448,95.0
47187,0.019,0.073,0.091,0.212,0.604,2020-03-05,Williamson,Tennessee,1,0,238412.0,0.816,4.0
47189,0.105,0.035,0.099,0.192,0.568,2020-03-19,Wilson,Tennessee,2,0,144657.0,0.76,10.5
